CompteurTemps	Temps	Cx0	Cy0	
297	14.8	-0.0567362	-0.0195481	
298	14.85	-0.0567189	-0.0196318	
299	14.9	-0.056835	-0.0195965	
300	14.95	-0.0568901	-0.0195953	
301	15	-0.0569924	-0.0198214	
302	15.05	-0.0570367	-0.0198651	
303	15.1	-0.056842	-0.0197013	
304	15.15	-0.0569779	-0.0196799	
305	15.2	-0.057048	-0.0197006	
306	15.25	-0.0569832	-0.0198601	
307	15.3	-0.057149	-0.0199308	
308	15.35	-0.056716	-0.0197008	
309	15.4	-0.0568412	-0.0197074	
310	15.45	-0.0570821	-0.0197235	
311	15.5	-0.0569662	-0.0201113	
312	15.55	-0.0566631	-0.0198625	
313	15.6	-0.0570737	-0.019935	
314	15.65	-0.0570446	-0.0198784	
315	15.7	-0.0570257	-0.0200736	
316	15.75	-0.0570814	-0.0198975	
317	15.8	-0.0571233	-0.0200194	
318	15.85	-0.0566371	-0.019888	
319	15.9	-0.0562364	-0.0196993	
320	15.95	-0.0568445	-0.0200921	
321	16	-0.0567905	-0.0199632	
322	16.05	-0.0568766	-0.0198475	
323	16.1	-0.0568057	-0.0197835	
324	16.15	-0.0569778	-0.0197749	
325	16.2	-0.0566816	-0.0198001	
326	16.25	-0.0565531	-0.0197327	
327	16.3	-0.0569558	-0.0198058	
328	16.35	-0.0564422	-0.0195893	
329	16.4	-0.0567245	-0.0197191	
330	16.45	-0.0570187	-0.0197926	
331	16.5	-0.0568097	-0.0198261	
332	16.55	-0.0568628	-0.0198689	
333	16.6	-0.0567886	-0.0198014	
334	16.65	-0.0564975	-0.0197245	
335	16.7	-0.0570774	-0.0197962	
336	16.75	-0.0570784	-0.0198765	
337	16.8	-0.0567261	-0.0198354	
338	16.85	-0.0568125	-0.0198367	
339	16.9	-0.0566795	-0.0199043	
340	16.95	-0.0566628	-0.0199192	
341	17	-0.0570902	-0.0198803	
342	17.05	-0.0568532	-0.019858	
343	17.1	-0.056998	-0.0198602	
344	17.15	-0.0567678	-0.0198571	
345	17.2	-0.0568007	-0.0198187	
346	17.25	-0.0568782	-0.0198494	
347	17.3	-0.0570394	-0.0199143	
348	17.35	-0.0569215	-0.0198596	
349	17.4	-0.0568356	-0.019806	
350	17.45	-0.0569773	-0.019774	
351	17.5	-0.0569751	-0.0198357	
352	17.55	-0.0570759	-0.0198226	
353	17.6	-0.0569121	-0.0198211	
354	17.65	-0.0568973	-0.0198113	
355	17.7	-0.0567977	-0.0199441	
356	17.75	-0.0569713	-0.0199565	
357	17.8	-0.0567337	-0.0198741	
358	17.85	-0.0567283	-0.0197199	
359	17.9	-0.0566413	-0.0199242	
360	17.95	-0.0569028	-0.0199421	
361	18	-0.05684	-0.0198518	
362	18.05	-0.0568692	-0.0199822	
363	18.1	-0.0568484	-0.0201593	
364	18.15	-0.0569923	-0.0200261	
365	18.2	-0.0570165	-0.0205732	
366	18.25	-0.0568639	-0.0202945	
367	18.3	-0.057072	-0.0202418	
368	18.35	-0.0569963	-0.0201737	
369	18.4	-0.0568862	-0.0201737	
370	18.45	-0.057058	-0.0201863	
371	18.5	-0.0569988	-0.0206878	
372	18.55	-0.0569636	-0.0202284	
373	18.6	-0.0568431	-0.0201817	
374	18.65	-0.0570735	-0.0201183	
375	18.7	-0.0570784	-0.0200523	
376	18.75	-0.0571018	-0.0200155	
377	18.8	-0.0569836	-0.0197488	
378	18.85	-0.0569398	-0.0199562	
379	18.9	-0.0569382	-0.0197609	
380	18.95	-0.0569062	-0.0198077	
381	19	-0.0569286	-0.0200332	
382	19.05	-0.0568944	-0.0200529	
383	19.1	-0.0569637	-0.0200893	
384	19.15	-0.0565801	-0.019852	
385	19.2	-0.0567217	-0.0201274	
386	19.25	-0.0562361	-0.0201274	
387	19.3	-0.056267	-0.0200429	
388	19.35	-0.0562019	-0.0202036	
389	19.4	-0.0567544	-0.0201821	
390	19.45	-0.0565355	-0.0200147	
391	19.5	-0.0569359	-0.0199849	
392	19.55	-0.0567348	-0.0200901	
393	19.6	-0.056823	-0.0200677	
394	19.65	-0.0570096	-0.0201439	
395	19.7	-0.0563769	-0.0200423	
396	19.75	-0.056699	-0.020031	
397	19.8	-0.0568987	-0.0199713	
398	19.85	-0.0570876	-0.0201	
399	19.9	-0.0569053	-0.0200932	
400	19.95	-0.0568793	-0.0200846	
401	20	-0.0570341	-0.0200991	
402	20.05	-0.0568478	-0.0200556	
403	20.1	-0.0569631	-0.0200408	
404	20.15	-0.0570882	-0.0201052	
405	20.2	-0.0568434	-0.0200576	
406	20.25	-0.0570808	-0.020045	
407	20.3	-0.05699	-0.0200143	
